event,is_goal,period,time,distance,angle,is_rebound,is_pass_before,is_cross_line,is_one_touch,is_fast_attack
Shot Attempt - Blocked,FALSE,2,459.3,20.1,60.10754458,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,174.6,19.9,58.31363231,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,741.2,22.7,56.30993247,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Upper right,FALSE,2,1066.1,6.8,41.09950626,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,1046.4,13,13.18296516,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,857,17.5,69.98850112,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,678.2,14.7,58.3392489,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Over the net,FALSE,3,977.4,11.1,44.2151754,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,3,918.6,15,25.01689348,FALSE,FALSE,FALSE,TRUE,TRUE
Shot Attempt - Deflected,FALSE,1,303.4,13.7,33.81824579,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,692.4,15.7,61.0560766,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,146,18.3,80.84766095,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,782,21.8,61.84719944,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,2,714.3,9,11.02345596,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,86.5,20.4,55.14554443,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,632.9,16.2,86.82016988,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Wide right,FALSE,1,873.7,21.5,58.70230016,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,737.3,23,53.39292519,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,390.5,15,58.96778976,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,1,1131.5,17.4,63.13018691,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Deflected,FALSE,2,149.4,17.4,33.79165568,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Upper left,TRUE,1,355.1,4.1,11.02713231,TRUE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,3,244.9,13,38.81138404,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,111.5,15,49.04448557,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,370.9,18.4,3.497059739,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,232.8,23.1,57.0305961,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,694.7,6.9,85.03025927,FALSE,FALSE,TRUE,FALSE,TRUE
Shot Attempt - Blocked,FALSE,3,96.4,10.7,88.92917555,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,869.3,12,37.9210784,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,570,22.9,58.27234501,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,322.5,22.1,59.31482691,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,996.3,15.2,62.38697218,FALSE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Wide right,FALSE,1,514.8,18.6,6.182930166,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Wide left,FALSE,3,750.7,14.3,79.87532834,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,336.5,9.2,57.0305961,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,2,690.2,10.1,74.29136217,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,651.2,16.4,53.13010235,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,29.8,23.8,59.16538475,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,162.9,22.4,57.79587108,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,733.5,4.6,24.67686317,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,212.6,19.3,66.84139258,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,859.7,19.4,63.16276189,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Over the net,FALSE,1,48.8,11.4,3.118801441,FALSE,FALSE,TRUE,FALSE,TRUE
Shot Attempt - Upper left,TRUE,1,163,4.1,11.30993247,TRUE,FALSE,TRUE,TRUE,FALSE
Shot Attempt - Wide left,FALSE,1,318.9,9.3,3.326269222,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,331.6,14.9,2.202598162,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Deflected,FALSE,2,1045.4,13.1,25.46334506,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,1,1157.7,21.3,59.03624347,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Deflected,FALSE,1,275.1,22.2,59.45242825,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,1089.6,21,5.332158882,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,2,81.2,22.4,4.593384463,FALSE,FALSE,FALSE,FALSE,FALSE
